landmark_id,category,landmark_name
10363,"http://commons.wikimedia.org/wiki/Category:Pham_Ngu_Lao_Street,_Ho_Chi_Minh_City","Pham Ngu Lao Street, Ho Chi Minh City"
104622,http://commons.wikimedia.org/wiki/Category:Kim_Lien_shrine,Kim Lien shrine
104627,http://commons.wikimedia.org/wiki/Category:Pavilion_of_Splendour_(Citadel_of_Hu%E1%BA%BF),Pavilion of Splendour (Citadel of Huế)
104896,http://commons.wikimedia.org/wiki/Category:Angkorajaborey_Pagoda,Angkorajaborey Pagoda
107747,"http://commons.wikimedia.org/wiki/Category:Imperial_City,_Hu%E1%BA%BF","Imperial City, Huế"
10877,http://commons.wikimedia.org/wiki/Category:Phat_Tich_pagoda,Phat Tich pagoda
109509,http://commons.wikimedia.org/wiki/Category:Bach_Ma,Bach Ma
109993,http://commons.wikimedia.org/wiki/Category:Nui_Coc_Lake,Nui Coc Lake
110950,http://commons.wikimedia.org/wiki/Category:Pagoda_of_the_Celestial_Lady,Pagoda of the Celestial Lady
111065,http://commons.wikimedia.org/wiki/Category:Flag_Tower_of_Hu%E1%BA%BF,Flag Tower of Huế
112557,http://commons.wikimedia.org/wiki/Category:Tinh_Xa_Trung_Tam,Tinh Xa Trung Tam
113331,http://commons.wikimedia.org/wiki/Category:Phu_My_Bridge,Phu My Bridge
115883,http://commons.wikimedia.org/wiki/Category:Phat_Diem_Church,Phat Diem Church
116334,"http://commons.wikimedia.org/wiki/Category:Thien_Hau_Temple,_Ho_Chi_Minh_City","Thien Hau Temple, Ho Chi Minh City"
117500,http://commons.wikimedia.org/wiki/Category:Ch%C3%B9a_%C4%90%E1%BA%A1i_Gi%C3%A1c,Chùa Đại Giác
117745,http://commons.wikimedia.org/wiki/Category:Mi%E1%BA%BFu_Nh%E1%BB%8B_Ph%E1%BB%A7,Miếu Nhị Phủ
118748,http://commons.wikimedia.org/wiki/Category:Cu_Chi_Tunnel,Cu Chi Tunnel
119206,http://commons.wikimedia.org/wiki/Category:Th%C3%A1nh_th%E1%BA%A5t_%C4%90a_Ph%C6%B0%E1%BB%9Bc,Thánh thất Đa Phước
119243,http://commons.wikimedia.org/wiki/Category:B%E1%BA%A1ch_Dinh,Bạch Dinh
120976,http://commons.wikimedia.org/wiki/Category:Kim_Li%C3%AAn_Pagoda,Kim Liên Pagoda
121100,http://commons.wikimedia.org/wiki/Category:Son_Doong_Cave,Son Doong Cave
121481,http://commons.wikimedia.org/wiki/Category:One_Pillar_Pagoda,One Pillar Pagoda
121533,http://commons.wikimedia.org/wiki/Category:Keangnam_Hanoi_Landmark_Tower,Keangnam Hanoi Landmark Tower
121721,http://commons.wikimedia.org/wiki/Category:Thien_Duong_Cave,Thien Duong Cave
122786,http://commons.wikimedia.org/wiki/Category:Regina_Pacis_Cathedral_(Long_Xuyen),Regina Pacis Cathedral (Long Xuyen)
124454,http://commons.wikimedia.org/wiki/Category:Hanoi_Botanical_Garden,Hanoi Botanical Garden
125300,http://commons.wikimedia.org/wiki/Category:Ch%C3%B9a_C%E1%BA%A7u,Chùa Cầu
128015,http://commons.wikimedia.org/wiki/Category:Cam_Ranh_Bay,Cam Ranh Bay
128228,http://commons.wikimedia.org/wiki/Category:Thac_Ba_Lake,Thac Ba Lake
128310,http://commons.wikimedia.org/wiki/Category:Chi_Lang_Stadium,Chi Lang Stadium
128374,http://commons.wikimedia.org/wiki/Category:Vung_Tau_lighthouse,Vung Tau lighthouse
129798,http://commons.wikimedia.org/wiki/Category:Vietnamese_Women's_Museum,Vietnamese Women's Museum
130230,http://commons.wikimedia.org/wiki/Category:Museum_of_Cham_Sculpture,Museum of Cham Sculpture
131182,http://commons.wikimedia.org/wiki/Category:National_Library_of_Vietnam,National Library of Vietnam
133325,http://commons.wikimedia.org/wiki/Category:Bai_Chay_Bridge,Bai Chay Bridge
133572,http://commons.wikimedia.org/wiki/Category:%C4%90%E1%BB%81n_M%E1%BA%ABu_%C3%82u_C%C6%A1,Đền Mẫu Âu Cơ
133933,http://commons.wikimedia.org/wiki/Category:Lotte_Center_Hanoi,Lotte Center Hanoi
134053,http://commons.wikimedia.org/wiki/Category:Kim_B%E1%BB%93ng_Village,Kim Bồng Village
134422,http://commons.wikimedia.org/wiki/Category:Tr%E1%BA%A5n_Qu%E1%BB%91c_Pagoda,Trấn Quốc Pagoda
134878,http://commons.wikimedia.org/wiki/Category:Turtle_Tower,Turtle Tower
135320,"http://commons.wikimedia.org/wiki/Category:Quan_Am_Pagoda,_Ho_Chi_Minh_City","Quan Am Pagoda, Ho Chi Minh City"
